artist,duration,album,genre,title,year,,
Faye Adams,156.39465,Shake A Hand,jump blues,Crazy Mixed Up World,1961,,
Faye Adams,144.1171,Shake A Hand,jump blues,My Greatest Desire,1961,,
Patsy Cline,168.95955,Music Trends - Country Busters,country rock,A Poor Man's Roses,1961,,
Roy Drusky,167.70567,Second Hand Rose,country rock,Three Hearts In A Tangle,1961,,
Kai Winding,223.4771,The Incredible Kai Winding Trombones,hard bop,Mangos,1961,,
Kai Winding,212.92363,The Incredible Kai Winding Trombones,hard bop,Doodlin',1961,,
The Exciters,142.21016,Girls of the 60's,all-female,Tell Him,1962,,
Mario Telles,212.13995,Mario Telles,samba,NanAPS,1962,,
Little Eva,145162,The Loco-Motion,pop rock,The Loco-Motion,1962,,
Leroy Van Dyke,124.52526,Walk On By,country rock,If A Woman Answers,1962,,
Boots Randolph,150.20363,Boots Randolph's Yakety Sax!,instrumental rock,Lonely Street,1963,,
THE CHIFFONS,129.67138,Original Hits - Rock 'N' Roll,doo-wop,One Fine Day,1963,,
The Shirelles,132.33587,Karaoke: 60's Star Power - Singing to the Hits,doo-wop,Foolish Little Girl,1963,,
The Rolling Stones,116.92363,Got Live if you want it!,blues,Fortune Teller,1963,,
Lesley Gore,140.2771,'60s Pop Number 1's,brill building pop,It's My Party,1963,,
THE CHIFFONS,156.36853,Sweet Talkin' Girls: The Best Of The Chiffons,doo-wop,When Summer's Through,1963,,
Ned Miller,128.26077,100 Country Classics,country rock,From A Jack To A King,1963,,
Jim Reeves,108.19873,Christmas Songbook,country gospel,Jingle Bells,1963,,
Mongo Santamaria,428.06812,Montreux Heat!,latin jazz,Watermelon Man,1963,,
Major Lance,141.42649,The Very Best Of Major Lance,neo soul,Come See,1963,,
Skeeter Davis,160.7571,The End Of The World,country rock,Foggy Mountain Top,1963,,
Ned Miller,131.83955,Sweet Sounds of Country Vol. 1,country rock,From a Jack To a King,1963,,
THE CHIFFONS,138762,The Chiffons Absolutetly The Best!,doo-wop,Did You Ever Go Steady,1963,,
The Impressions,207.35955,The Impressions,chicago soul,I Found You,1963,,
Lesley Gore,136.48934,60's Triple set,brill building pop,It's My Party,1963,,
The Rolling Stones,183.17016,12 x 5,blues,Around And Around,1964,,
The Shangri-Las,136.01914,100 Love Evergreen,doo-wop,Remember (Walkin' In the Sand),1964,,
The Ronettes,182.83057,Phil Spector's Wall Of Sound Retrospective Phillies Sound 1961-1996,brill building pop,(The Best Part Of) Breakin' Up,1964,,
The Shangri-Las,164.80608,Best of The Shangri-Las,doo-wop,Twist and Shout,1964,,
Vince Guaraldi,270.75873,Jazz Impressions,latin jazz,Room At The Bottom,1964,,
The Rolling Stones,172.72118,12 x 5,blues,Time Is On My Side,1964,,
Vince Guaraldi Trio,242.9122,Jazz Impressions,latin jazz,Yesterdays,1964,,
Vince Guaraldi,201.42975,The Latin Side Of Vince Guaraldi,latin jazz,Corcovado,1964,,
Floyd Cramer,117.4722,Piano Masterpieces,instrumental pop,Near You,1964,,
The Shangri-Las,157.85751,The Very Best Of The Shangri-Las,doo-wop,Bull Dog,1964,,
Herb Alpert And The Tijuana Brass,163.94404,South Of The Border,smooth jazz,Adios_ Mi Corazon,1964,,
Les Hou-Lops,181.86404,XL60 Remix-Jeunesse 1,freakbeat,Quand on est amoureux,1964,,
The Beatles / Tony Sheridan,130.95138,Total 60s,merseybeat,Ain't She Sweet,1964,,
VinAcius de Moraes,243.53914,20 Grandes Sucessos De Vinicius De Moreas,brazilian pop music,Minha Namorada,1965,,
John Hammond,162.71628,The Best Of,blues,Big Boss Man,1965,,
Righteous Brothers,190.14485,Gold,blue-eyed soul,See That Girl,1965,,
Sleepy John Estes,190.27546,Working Man Blues,country blues,Lawyer Clark Blues,1965,,
Small Faces,129.90649,Small Faces,rock 'n roll,What'Cha Gonna Do About It,1965,,
Loretta Lynn,161.48853,The Gospel Spirit,honky tonk,I'd Rather Have Jesus,1965,,
The Shangri-Las,161.48853,Best of The Shangri-Las,doo-wop,Out in the Streets,1965,,
Fontella Bass,165.72036,Brothers In Blues & Sisters In Soul,northern soul,Rescue Me,1965,,
Simon & Garfunkel,182.56934,Parsley_ Sage_ Rosemary And Thyme,folk-pop,Patterns,1966,,
John Mayall & The Bluesbreakers,214.69995,Bluesbreakers With Eric Clapton - Deluxe Edition,blues-rock,All Your Love,1966,,
Perrey And Kingsley,122.64444,Vanguard Visionaries,easy listening,Spooks In Space,1966,,
Simon & Garfunkel,138.70975,The Collection,folk-pop,A Simple Desultory Philippic (Or How I Was Robert McNamara'd Into Submission),1966,,
Chris Farlowe,177.57995,Out Of Time,blue-eyed soul,Paint It Black,1966,,
Small Faces,157.46567,Ultimate Collection,rock 'n roll,It's Too Late,1966,,
Mississippi John Hurt,198.76526,Blues Routes Mississippi John Hurt,delta blues,Coffee Blues,1966,,
Irwin Goodman,119.06567,Lauluja elokuvasta Rentun Ruusu,german pop,Raha ratkaisee,1966,,
The Rolling Stones,189.67465,Aftermath (UK Version),blues,Think,1966,,
Small Faces,121.73016,From The Beginning,rock 'n roll,My Mind's Eye,1966,,
Jerry Goldsmith,169.1424,The Sand Pebbles,soundtrack,Main Title,1966,,
Sandy Posey,165.19791,Born A Woman,ballad,Touch You,1966,,
Small Faces,172.72118,Ultimate Collection,rock 'n roll,Itchycoo Park,1967,,
The Sonics,108.14649,Maintaining My Cool,rock 'n roll,On The Road Again,1967,,
Eddy Arnold,128.96608,Ultimate Eddy Arnold,honky tonk,What's He Doin' In My World,1967,,
Dolly Parton,152.45016,The Dolly Parton Classics,bluegrass,I'm Not Worth the Tears,1967,,
The Harvey Averne Dozen,166.81751,Viva Soul,boogaloo,The Think Drink Theme,1967,,
The Box Tops,148.61016,The Letter/Neon Rainbow,blue-eyed soul,People Make The World,1967,,
The Creation,147.69587,Our Music Is Red  - With Purple Flashes,freakbeat,Try And Stop Me,1967,,
James Last,260.12689,Welthits In Gold,orchestra,Games That Lovers Play,1967,,
Bill Cosby,157.43955,Revenge,comedy,Wives ( LP Version ),1967,,
The Creation,250.27873,Our Music Is Red  - With Purple Flashes,freakbeat,Hey Joe,1967,,
The Box Tops,177.3971,The Letter/Neon Rainbow,blue-eyed soul,Neon Rainbow,1967,,
Pink Floyd,187.42812,The Piper At The Gates Of Dawn,art rock,Matilda Mother (Stereo) (2007 Remaster),1967,,
The Sonics,171.15383,Fire and Ice II - The 'Lost' Tapes,rock 'n roll,Love Lights,1967,,
Mississippi John Hurt,238.94159,The Immortal,delta blues,Monday Morning Blues,1967,,
Jerry Reed,135.18322,Oh What A Woman,country rock,Woman Shy,1967,,
Eddy Arnold,166.16444,Number Ones,honky tonk,Just A Little Lovin' (Will Go A Long Way),1967,,
John And The Bluesbreakers Mayall,304.8224,PADLOCK ON THE BLUES,blues-rock,A Hard Road,1967,,
The Doors,186.56608,Strange Days,classic rock,Strange Days ( LP Version ),1967,,
T-Bone Walker,171.83302,Mean Old World,texas blues,I'm Still In Love With You,1967,,
The Mystic Moods Orchestra,147.33016,Mexican Trip,space age pop,Gay Ranchero,1967,,
Edu Lobo,309.52444,Meia-Noite,brazilian pop music,Canto Triste,1967,,
Burt Bacharach,175882,Reach Out,brill building pop,Are You There (With Another Girl),1967,,
The Statler Brothers,201.27302,Flowers On The Wall:  The Essential Statler Brothers 1964-1969,country gospel,Shenandoah,1967,,
Sonny James,146.02404,Capitol Collectors Series,country blues,I'll Never Find Another You,1967,,
Frank Sinatra,166.05995,Francis Albert Sinatra & Antonio Carlos Jobim,bossa nova,Quiet Nights Of Quiet Stars [Corcovado] [The Frank Sinatra Collection],1967,,
Chris Clark,192.65261,The Motown Anthology,motown,If You Should Walk Away,1967,,
Tommy James And The Shondells,161.85424,Anthology,brill building pop,I Like The Way,1967,,
Orquestra,87.58812,"Trilha Sonora Do Filme ""Garota De Ipanema",orchestra,Tema Da DesilusAPSo (Garota De Ipanema),1967,,
Bobby Hutcherson,349.72689,Happenings,latin jazz,Maiden Voyage (Rudy Van Gelder Edition) (2006 Digital Remaster),1967,,
The Moody Blues,291.29098,Caught Live + 5,british invasion,Tuesday Afternoon,1968,,
The Impressions,168.01914,This Is My Country,chicago soul,This Is My Country,1968,,
Earl Hooker,298.91873,Two Bugs And A Roach,chicago blues,Love Ain't A Play Thing,1968,,
Tammy Wynette,159.60771,Country 100,honky tonk,Stand By Your Man,1968,,
Albert King,244.27057,Live Wire/Blues Power,electric blues,Watermelon Man,1968,,
Glen Campbell And Bobbie Gentry,183.11791,The Best of Bobbie Gentry: The Capitol Years,country blues,Mornin' Glory,1968,,
Bobbie Gentry,156.21179,Ode To Bobbie Gentry... The Capitol Years,country blues,Reunion,1968,,
Bill Cosby,156.39465,Bill Cosby Sings Hooray For The Salvation Army Band!,comedy,Hold On I'm A Comin' (Album Version),1968,,
The Box Tops,142.36689,Nonstop,blue-eyed soul,I Can Dig It,1968,,
Bobbie Gentry,214.96118,Local Gentry,country blues,Ace Insurance Man,1968,,
Simon & Garfunkel,130.76853,The Collection,folk-pop,Old Friends,1968,,
Arthur Brown,422.16444,The Crazy World Of Arthur Brown,blues-rock,Child Of My Kingdom,1968,,
Bobbie Gentry,177.57995,The Best of Bobbie Gentry: The Capitol Years,country blues,Courtyard,1968,,
Arthur Brown,297.03791,The Crazy World Of Arthur Brown,blues-rock,Time / Confusion,1968,,
Louie Ramirez,174.10567,Ali Baba,salsa,It's Not What You Say,1968,,
Jacques Dutronc,128.33914,IntA(c)grale Les Cactus,chanson,Transes-Dimanche,1968,,
Groundhogs,1023.86893,U.S. Tour '72,blues-rock,Still a Fool,1968,,
The Velvet Underground,276.68853,The Very Best Of The Velvet Underground,experimental rock,I Heard Her Call My Name,1968,,
Small Faces,248.24118,Ogdens' Nut Gone Flake,rock 'n roll,Spoken Word / Ogdens' Nut Gone Flake / Spoken Word,1968,,
Tammy Wynette,119.90159,The World Of Tammy Wynette,honky tonk,I Stayed Long Enough,1968,,
Tiny Tim,177.00526,God Bless Tiny Tim: The Complete Reprise Studio Masters... And More,cabaret,Stay Down Here Where You Belong,1968,,
Lee Michaels,118.88281,Recital,blue-eyed soul,Fell In Love Today,1968,,
Perrey And Kingsley,137.19465,The Out Sound From Way In!,easy listening,The Minuet Of The Robots,1968,,
Jacques Dutronc,151.09179,En Vogue,chanson,L'Aventurier,1969,,
Albert Ayler,632.34567,Nuits De La Fondation Maeght 1970,free jazz,Music Is The Healing Force Of The Universe,1969,,
Janis Joplin,246.72608,Janis,blues-rock,Maybe,1969,,
Jimi Hendrix,192.23465,Valleys Of Neptune,blues-rock,Fire,1969,,
Spooky Tooth,222.14485,The Best Of Spooky Tooth,blues-rock,Waitin' For The Wind,1969,,
Gershon Kingsley,180.08771,Music To Moog By Gershon Kingsley,space age pop,Trumansburg Whistle,1969,,
MC5,172.30322,Kick Out The Jams,garage rock,Intro 2/ Kick Out The Jams (LP Version),1969,,
Jacques Dutronc,192.33914,L' Aventurier,chanson,Les Femmes Des Autres,1969,,
The Box Tops,148.03546,Dimensions,blue-eyed soul,Soul Deep,1969,,
Johnny Cash,216.81587,The Best Of The Johnny Cash TV Show,honky tonk,A Boy Named Sue,1969,,
Spooky Tooth,545.74975,That Was Only Yesterday - An Introduction To,blues-rock,Evil Woman,1969,,
Delroy Wilson,191.73832,40 Greatest Hits,rock steady,Who Cares,1969,,
Tommy James & The Shondells,324.70159,The Boat That Rocked,brill building pop,Crimson And Clover,1969,,
Jacques Dutronc,152.76363,IntA(c)grale Les Cactus,chanson,Laquelle Des Deux Est La Plus Snob,1969,,
Iggy And The Stooges,220.78649,Telluric Chaos,experimental rock,1969,1969,,
Jacques Dutronc,189.85751,IntA(c)grale Les Cactus,chanson,Les Femmes Des Autres,1969,,
Johnny Winter,315.92444,The Best Of Johnny Winter,blues-rock,Be Careful With A Fool,1969,,
John Mayall,193.12281,Empty Rooms,blues-rock,Don't Waste My Time,1970,,
Spooky Tooth / Mike Harrison,384.7571,That Was Only Yesterday - An Introduction To,blues-rock,I Am The Walrus,1970,,
Francis Lai,155.16689,Love Story,space age pop,Concerto No.3 In D: Allegro,1970,,
Taste,362.03057,On The Boards,blues-rock,On The Boards,1970,,
Charley Pride,188.02893,Super Hits,honky tonk,(I'm So) Afraid Of Losing You Again,1970,,
Hot Tuna,375562,Hot Tuna: Live,blues-rock,Death Don't Have No Mercy,1970,,
Bobby Valentin,177.50159,Algo Nuevo,boogaloo,Yo Soy Abacua,1970,,
Crabby Appleton,186.69669,Rhino Hi-Five: Crabby Appleton,power pop,Go Back,1970,,
Hot Tuna,304.45669,Platinum & Gold Collection,blues-rock,Hesitation Blues,1970,,
Richie Ray & Bobby Cruz,418.53342,A life time of Hits.. (Live At Centro De Bellas Artes_ San Juan_ Puerto Rico.),salsa,Guaguanco Raro,1970,,
The MC5,149.96853,Back In The USA,garage rock,The American Ruse (LP Version),1970,,
Led Zeppelin,145.05751,Led Zeppelin III,blues-rock,Immigrant Song (Album Version),1970,,
Francis Lai,184.45016,Love Story,space age pop,Search For Jenny,1970,,
Tony Joe White,152842,Tony Joe,country rock,A Man Can Only Stand Just So Much Pain (Bonus Track),1970,,
Ten Years After,145.00526,Cricklewood Green,blues-rock,Year 3_000 Blues (2002 Digital Remaster),1970,,
Kris Kristofferson,232.64608,Broken Freedom Song: Live From San Francisco,western swing,Darby's Castle,1970,,
The Edgar Broughton Band,245.44608,Sing Brother Sing,protopunk,Aphrodite (1999 Digital Remaster),1970,,
Young-Holt Unlimited,243.66975,Mellow Dreamin',soul jazz,Wichita Lineman (LP Version),1970,,
Leon Russell,226.21995,A Song For You,blues-rock,Hummingbird,1970,,
Young-Holt Unlimited,176.63955,Mellow Dreamin',soul jazz,The Devil Made Me Do Dat (LP Version),1970,,
Minnie Riperton,212.13995,Les Fleurs & Other Favorites (Digitally Remastered),soul jazz,Completeness,1970,,
Janis Joplin,205.53098,Cheap Thrills/Kozmic Blues/Pearl,blues-rock,Get It While You Can,1971,,
The Chieftains,185.86077,Music Of The Celtic Harp,irish folk,Carolan's Concerto,1971,,
Z.Z. Hill,189.46567,Second Chance,soul blues,It Ain't No Use,1971,,
Alice Cooper,197.90322,LIVE AT MONTREUX,shock rock,Be My Lover,1971,,
Flamin' Groovies,199.96689,Teenage Head,power pop,Evil Hearted Ada,1971,,
Alice Cooper,189.90975,Love It To Death,shock rock,Caught In A Dream (Album Version),1971,,
Uriah Heep,252.9171,Look At Yourself,heavy metal,What Should Be Done,1971,,
Dolly Parton,155.21914,Heaven,bluegrass,Letter To Heaven,1971,,
Jeff Beck Group,367.46404,Original Album Classics,blues-rock,Jody,1971,,
Vox Dei,456.69832,La Biblia,new wave,Profecias,1971,,
Baby Huey & The Baby Sitters,288.36526,The Baby Huey Story: The Living Legend,funk,California Dreamin' (LP Version),1971,,
The Grease Band,254.85016,Grease Band & Amazing Grease,swamp rock,Willie And The Pig,1971,,
Donny Hathaway,283.21914,Donny Hathaway,jazz funk,Little Girl (LP Version),1971,,
Freddie King,332.45995,The Four Kings Of Blues Guitar,texas blues,Key To The Highway,1971,,
Atomic Rooster,269.71383,Heavy Soul,hard rock,The Rock,1971,,
Hot Tuna,239.59465,Final Vinyl,blues-rock,Candy Man,1971,,
Freddie King,263.65342,Getting Ready... (World),texas blues,Five Long Years,1971,,
Young-Holt Unlimited,266.05669,Born Again,soul jazz,We've Only Just Begun (LP Version),1971,,
Z.Z. Hill,333322,The Brand New Z.Z. Hill,soul blues,Faithful and True (Collectors Version),1971,,
Dave And Ansel Collins,151.84934,Double Barrel,rock steady,Two Four One,1971,,
Julien Clerc,207.20281,Niagara,chanson,Rolo Le Baroudeur,1971,,
MC5,307722,High Time,garage rock,Miss X (LP Version),1971,,
The Paul Butterfield Blues Band,228.75383,Sometimes I Just Feel Like Smilin',blues-rock,Pretty Woman (LP Version),1971,,
Faces,279.84934,The Best Of Faces: Good Boys When They're Asleep,blues-rock,Stay With Me,1971,,
MC5,381.30893,High Time,garage rock,Future/Now (LP Version),1971,,
Cheo Feliciano,269.26975,Latin Nights,salsa,Juguete,1972,,
Neil Diamond,172.38159,Hot August Nights II,soft rock,Song Sung Blue,1972,,
Janis Joplin,183.14404,ANTHOLOGY,blues-rock,Down On Me,1972,,
Blind Lemon Jefferson,165.35465,Southern Blues Volume 2,country blues,Gone Dead On You Blues,1972,,
The Sensational Alex Harvey Band,536.0322,Zalvation,glam rock,Framed,1972,,
Janis Joplin,266.23955,Janis,blues-rock,Piece Of My Heart,1972,,
Jeff Beck Group,340.34893,Original Album Classics,blues-rock,Ice Cream Cakes,1972,,
Michael Jackson,182.7522,Hello World - The Motown Solo Collection,motown,I Wanna Be Where You Are,1972,,
Johnny Nash,167.26159,I Can See Clearly Now,reggae,There Are More Questions Than Answers,1972,,
The Impressions,236.69506,Times Have Changed,chicago soul,Need To Belong To Someone,1972,,
Tito Puente,295.05261,Mambo Diablo,salsa,China,1972,,
Atomic Rooster,158.77179,Made In England,hard rock,Close Your Eyes,1972,,
The Rolling Stones,272.43057,Exile On Main St,blues,Rocks Off,1972,,
Terry Callier,342.56934,Occasional Rain,soul jazz,Do You Finally Need A Friend,1972,,
Michael Jackson,251.66322,Love Songs,motown,Ain't No Sunshine,1972,,
Terry Callier,243.04281,Lifestyle2 - Acoustic Vol 2,soul jazz,Occasional Rain,1972,,
Free,229.56363,Chronicles,lovers rock,Heartbreaker,1972,,
The Chi-Lites,274.83383,The Chi-Lites Live In Concert,disco,The Coldest Days Of My Life,1972,,
Pink Floyd,188.1073,Obscured By Clouds,art rock,The Gold It's In The ... (1996 Digital Remaster),1972,,
Hall & Oates,170.29179,AM Radio Gold: Hall & Oates (Remastered),pop rock,Fall in Philadelphia,1972,,
Atomic Rooster,159.60771,Made In England,hard rock,Little Bit of Inner Air,1972,,
Furry Lewis,221962,Furry Lewis,country blues,Judge Boushay Blues,1972,,
Atomic Rooster,203.31057,Made In England,hard rock,Stand By Me,1972,,
Neil Diamond,194.40281,Play Me: The Complete Uni Studio Recordings...Plus!,soft rock,Song Sung Blue,1972,,
Pescado Rabioso,526.21016,Obras Cumbres Pescado Rabioso/ Invisible,grindcore,Aguas Claras De Olimpos,1973,,
Peret,179.69587,La Salsa De La Rumba,rumba,TA3cale Las Palmas,1973,,
Eddie Palmieri,392.85506,Eddie Palmieri/Lala Rodrigues/Ismael Quintana - Gold 1973-1976,latin jazz,Nada De Ti,1973,,
Jimmy Cliff,301.71383,The Universal Masters Collection,reggae,Let's Seize The Time,1973,,
Planxty,156.18567,Planxty,folk rock,Junior Crehan's Favourite - Corney Is Coming,1973,,
Nick Ingman,179.43465,Bite Harder: The Music De Wolfe Studio Sampler_ Vol. 2,jazz funk,Down Home,1973,,
Commander Cody & His Lost Planet Airmen,162.45506,Sea Cruise,country rock,Sister Sue,1973,,
Pescado Rabioso,579.44771,Pescado Rabioso 2,grindcore,A!Hola_ PequeA+-o Ser!,1973,,
Eddie Palmieri,266.50077,Eddie Palmieri/Lala Rodrigues/Ismael Quintana - Gold 1973-1976,salsa,No Pienses Asi,1973,,
Freddie King,226.06322,Woman Across The River (World),texas blues,Boogie Man,1973,,
John Cale,199.96689,Paris s'A(c)veille,experimental rock,Antarctica Starts Here,1973,,
Faces,187.42812,Ooh La La,blues-rock,My Fault (LP Version),1973,,
The New York Dolls,234.84036,Morrissey Presents The Return Of The New York Dolls - Live From Royal Festival Hall 2004,glam rock,Vietnamese Baby,1973,,
The Animals_ Sonny Boy Williamson,463.49016,The Animals with Sonny Boy Williamson,blues-rock,Bo Diddley,1973,,
Bryan Ferry,253.12608,These Foolish Things,glam rock,Don't Worry Baby (1999 Digital Remaster),1973,,
Eno,316.99546,Island Records Post Punk Box Set - Out Come The Freaks,electronic,Baby's On Fire,1973,,
Bruce Springsteen,591.62077,Hammersmith Odeon_ London '75,heartland rock,Rosalita (Come Out Tonight),1973,,
Bill Cosby,498.33751,20th Century Masters: The Millennium Collection: Best Of Bill Cosby,comedy,Fat Albert's Car,1973,,
Planxty,139.72853,Planxty,folk rock,Follow Me Up To Carlow,1973,,
Jacques Higelin,163.05587,Chante Higelin et Vian,chanson,Quand j'improvise sur mon piano,1973,,
Sui Generis,335.33342,Adios Sui Generis Vol III,cumbia,Cuando Ya Me Empiece A Quedar Solo,1973,,
Seatrain,294.47791,Watch,jazz funk,Abbeville Fair,1973,,
Michael Jackson,217.96526,Gold,motown,Morning Glow,1973,,
Jeanne Pruett,193.01832,Satin Sheets,classic country,Love Me,1973,,
Kris Kristofferson,194.37669,Original Album Classics,western swing,Same Old Song,1974,,
Roy Buchanan,329.66485,20th Century Masters: The Millennium Collection: Best Of Roy Buchanan,blues-rock,Hey Joe,1974,,
The New York Dolls,245.68118,20th Century Masters: The Millennium Collection: Best Of The New York Dolls,glam rock,Stranded In The Jungle,1974,,
Commander Cody And His Lost Planet Airmen,205.71383,Live From Deep In The Heart Of Texas,country rock,Too Much Fun,1974,,
Eagles,240.97914,On The Border,country rock,You Never Cry Like A Lover (LP Version),1974,,
Aerosmith,357.53751,A Little South Of Sanity,blues-rock,Same Old Song And Dance,1974,,
Bad Company,249.83465,Hard Rock Live,blues-rock,Rock Steady,1974,,
Suzi Quatro,200202,The Very Best Of,glam rock,Too Big,1974,,
Bad Company,229.58975,In Concert: Merchants Of Cool,blues-rock,Rock Steady,1974,,
The New York Dolls,344.05832,Too Much Too Soon,glam rock,Human Being,1974,,
Vox Dei,197.04118,Cuero Caliente,new wave,A Nadie Le Interesa Si QuedA!s AtrA!s (Total Que...),1974,,
Commander Cody And His Lost Planet Airmen,188.70812,Live From Deep In The Heart Of Texas,country rock,Crying Time,1974,,
Lou Reed,211.66975,Live - In Concert,glam rock,Sally Can't Dance,1974,,
Johnny Cash,162.29832,Wanted Man: The Johnny Cash Collection,honky tonk,Lonesome To The Bone,1974,,
The Chi Lites,170.70975,Nothing Lasts For Ever,disco,Toby,1974,,
Maria Muldaur,180.87138,The L Word: Season 3,dance pop,It Ain't The Meat It's The Motion,1974,,
The New York Dolls,344.45016,Too Much Too Soon,glam rock,Human Being,1974,,
Leroy Hutson,181.55057,The Man!,jazz funk,Ella Weez,1974,,
Aerosmith,425.03791,Classics Live,blues-rock,Lord Of The Thighs,1974,,
Commander Cody And His Lost Planet Airmen,195.65669,Live From Deep In The Heart Of Texas,country rock,Riot In Cell Block #9,1974,,
